origem;destino;dist_km;tempo;abast.;abast.lt.;consm.lbs;decea;tx.aerop.;comissaria;fbo;hospedagem;Transporte;slot;outros;comissoes;variável trip.;receita;com.terceiros
SBBH;SBRJ;373;0,7;11235,95;1550;1050;;;;4214,91;;;;;0;223,8;0,01;
SBRJ;SBBH;373;0,7;;;1020;713,63;717,53;;700;;;;;0;223,8;0,01;
SBBH;SBSP;627;1,2;11330,11;1503;1600;713,63;654,77;;2050;;;;;0;376,2;0,01;
SBSP;SBBH;627;0,8;3051,35;411;1066;845,44;708,82;;;;;;8333,37;0;1128,6;0,01;
SBBH;SBPA;1474,192;1,8;12343,54;1932;2920;713,63;629,46;;990;;;;;0;884,5152;0,01;
SBPA;SBCT;564,86;0,7;8008,13;1100;1420;845,44;631,92;;630;;;;;0;338,916;0,01;
SBCT;SBBH;888,96;1,2;5962,08;749;1950;845,44;708,82;;;;;;422,5;0;1066,752;0,01;
SBBH;SBZM;279,652;0,5;8216;1300;850;713,63;1439,98;;;;;;;0;167,7912;0,01;
SBZM;SBBH;261,132;0,5;;;800;505,07;730,42;;;;;;;0;313,3584;0,01;
SBBH;SBSP;688,944;1,1;6429;1000;1550;713,63;654,77;;2250;;;;;0;413,3664;0,01;
SBSP;SBBH;587,084;0,9;5548;760;1350;845,44;730,42;;;;;;3562,32;0;1056,7512;0,01;
SBBH;SBSP;675,98;1;5143,2;800;1520;713,63;654,77;;760;;;;;0;405,588;0,01;
SBSP;SBSV;1492,712;2;12410;1700;3110;845,44;551,13;;600;;;;;0;895,6272;0,01;
SBSV;SBBH;1050,084;1,5;8721,96;1184;2290;713,63;730,42;;;;;;531,2;0;1217,142818;0,01;
SBBH;SBSP;681,536;1,1;11792,55;1930;1540;713,63;654,77;;;;;;300;0;408,9216;0,01;
SBSP;SBBH;542,636;0,8;;;1230;845,44;730,42;;1100;;;;;0;651,1632;0,01;
SBBH;SBMO;1501,972;2,1;9165,2;1500;2430;713,63;657,46;;708;;;;;0;901,1832;0,01;
SBMO;SBBH;1500,12;2,1;9111,6;1200;2410;713,63;730,42;;;;;;;0;900,072;0,01;
SBBH;SDPA;414,848;0,6;5499,12;900;980;713,63;1000;1041,1;;;;;;0;248,9088;0,01;
SDPA;SBBH;414,848;0,7;;;1143;;730,42;;;;;;77,76;0;248,9088;0,01;
SBBH;SBMO;1529,752;1,9;12281,35;2010;2410;713,63;657,46;;700;;;;;0;917,8512;0,01;
SBMO;SBBH;1501,972;2;7593;1000;2590;713,63;730,42;;;;;;;0;1246,63676;0,01;
SBBH;SBBR;775,988;1;11609,26;1900;1630;713,63;464,98;;;;;;;0;1396,7784;0,01;
SBBR;SBBH;598,196;1;;;1170;845,44;730,42;;620;;;;;0;1076,7528;0,01;
SBBH;SBSP;913,036;1,5;8248,68;1350;1870;713,63;654,77;;650;;;;;0;547,8216;0,01;
SBSP;SBPA;907,48;1,3;5851,26;800;1730;845,44;629,46;;1760;;;;;0;544,488;0,01;
SBPA;SBFL;301,876;0,7;5621,75;750;1020;845,44;634,4;;800;;;;;0;181,1256;0,01;
SBFL;SBBI;811,176;0,6;;;850;845,44;631,92;;380;;;;;0;486,7056;0,01;
SBBI;SBBH;418,552;1,2;7668,69;1040;1540;713,63;730,42;;;;;;;0;477,8468667;0,01;
SBBH;SBSP;1072,308;1,9;10582,76;1732;2310;713,63;654,77;;750;;;;;0;643,3848;0,01;
SBSP;SBBH;551,896;0,9;;;1130;845,44;730,42;438;;;;;;0;331,1376;0,01;
SBBH;SBUL;831,548;0,9;7332,16;1200;1240;713,63;569,94;;500;;;;;241,1737401;498,9288;16078,24934;
SBUL;SBBH;564,86;0,7;3707,43;508;970;713,63;730,42;;;;;;;163,8262599;338,916;10921,75066;
SBBH;SBSP;577,824;1,5;9745,66;1595;1830;713,63;654,77;;750;;;;;0;651,01504;0,01;
SBSP;SBBH;435,22;0,9;;;1320;845,44;730,42;;;;;;;0;522,264;0,01;
SBBH;SBRP;524,116;0,7;5471,19;900;1140;713,63;538,18;;;;;;;75,65433807;314,4696;5043,622538;
SBRP;SBBH;509,3;0,8;;;1070;713,63;730,42;;;;;;2775,98;73,51569954;305,58;4901,046636;
SBBH;SBRP;514,856;0,8;9118,65;1500;1130;713,63;736,42;;;;;;;74,31768899;926,7408;4954,512599;
SBRP;SBBH;472,26;0,9;;;1130;713,63;730,42;;;;;;;68,16910321;850,068;4544,606881;
SBBH;SBRP;520,412;0,8;7659,67;1260;1050;713,63;538,18;;;;;;;75,11967844;936,7416;5007,978563;
SBRP;SBBH;487,076;0,7;;;1040;713,63;730,42;;3500;;;;;70,30774174;876,7368;4687,182783;
SBBH;SBPS;627,828;0,9;9732,64;1601;1440;713,63;544,21;;1500;;;;;280,2217742;376,6968;18681,45161;
SBPS;SBBH;750,06;0,9;2514,87;361;1730;552,6;730,42;;;4020;;;;334,7782258;1350,108;22318,54839;
SBBH;SBGR;592,64;0,9;6639,51;1180;1370;713,63;485,61;;5938,2;1672,99;;;;159,4548552;355,584;10630,32368;
SBGR;SBBH;494,484;0,7;1893,24;315;1040;845,44;730,42;;;;;;;133,0451448;890,0712;8869,67632;
SBBH;SBNF;1033,416;1,4;9008,35;1601;1860;713,63;631,92;249,5;750;;;;;0;620,0496;0,01;
SBNF;SBPA;507,448;0,8;;;1140;552,6;629,46;;1020;;;;;0;304,4688;0,01;
SBPA;SBSP;872,292;1,2;11815;1700;1790;845,44;654,77;;1500;;;;;0;642,3241091;0,01;
SBSP;SBBH;538,932;0,8;735,98;113;1160;845,44;730,42;;;;;;858,41;0;323,3592;0,01;
SBBH;SBIP;235,204;0,4;3494,18;621;520;713,63;747,49;;;357;;;;152,9243119;141,1224;10194,95413;
SBIP;SBBH;168,532;0,4;;;710;;730,42;;;;;;;109,5756881;202,2384;7305,045872;
SBBH;SBRJ;450,036;0,8;5232,83;930;1080;713,63;836,81;199,6;;;;;433,54;0;270,0216;0,01;
SBRJ;SBBH;424,108;0,6;2430,74;390;1020;713,63;730,42;;700;;;;;0;254,4648;0,01;
SBBH;SBSP;735,244;1,1;5621,07;999;1570;713,63;654,77;;1300;;;;;0;441,1464;0,01;
SBSP;SBBH;505,596;0,8;3790,35;560;1270;845,44;730,42;;;;;;2922,89;0;606,7152;0,01;
SBBH;SBIP;220,388;0,3;3938,69;700;540;713,63;725,49;;;;170;;;141,9886364;132,2328;9465,909091;
SBIP;SBBH;187,052;0,4;;;700;;730,42;;;;;;;120,5113636;112,2312;8034,090909;
SBBH;SBBR;714,872;1,1;10578,2;1880;1560;713,63;464,98;;680;;;;;360,2666667;765,4629415;24017,77778;
SBBR;SBBH;635,236;0,9;;;1390;845,44;730,42;;;;;;;320,1333333;762,2832;21342,22222;
SBBH;SBIP;177,792;0,3;3162,21;562;530;713,63;719,99;;;;;;;116,6666667;106,6752;7777,777778;
SBIP;SBBH;222,24;0,4;;;680;;730,42;;;;;;;145,8333333;133,344;9722,222222;
SBBH;SBIP;175,94;0,3;3859,92;686;560;713,63;719,99;;;;;;;0;105,564;0,01;
SBIP;SBBH;246,316;0,4;;;740;;730,42;;;;;;;0;147,7896;0,01;
SBBH;SBCP;387,068;0,6;6470,71;1150;960;713,63;461,12;;;;;;;199,2959375;232,2408;13286,39583;
SBCP;SBSP;535,228;1,1;4055;500;1600;431,43;654,77;;750;;;;;275,5814638;440,9639642;18372,09759;
SBSP;SBBH;766,728;0,8;3875,24;595;1120;845,44;730,42;;;;;;;394,7775987;920,0736;26318,50658;
SBBH;SBIP;170,384;0,3;;;510;713,63;719,99;;;;;;;121,3567839;102,2304;8090,452261;
SBIP;SBBH;198,164;0,3;3243,39;614;570;;730,42;;;;;;;141,1432161;118,8984;9409,547739;
SBBH;SBTV;596,344;0,8;5791,86;1150;1320;713,63;6040;;;;;;3833,22;0;357,8064;0,01;
SBTV;SBBH;733,392;1;3234,03;327;1520;;730,42;;;;;;;0;1320,1056;0,01;
SBBH;SBJD;513,004;0,9;14693,5;2454;1300;713,63;485,99;;;;;;;0;307,8024;0,01;
SBJD;SBBH;498,188;0,8;7576,24;1162;1180;552,6;730,42;;;;180;;;0;298,9128;0,01;
SBBH;SBSP;529,672;1,3;2163,03;430;1750;713,63;654,77;299,4;750;;;;;0;317,8032;0,01;
SBSP;SBGR;101,86;0,4;;;460;845,44;485,61;;750;;;;;0;61,116;0,01;
SBGR;SBBH;492,632;0,8;4950,13;669;1140;845,44;730,42;;600;;;300;;0;295,5792;0,01;
SBBH;SBSP;520,412;1,1;8048,48;1600;1470;713,63;654,77;;;;;;;171,7272;312,2472;11448,48;
SBSP;SBBH;696,352;0,8;4950,13;;1280;845,44;730,42;;;;;;;0;417,8112;0,01;
SBBH;SBPS;633,384;0,9;7826,8;1550;1330;713,63;544,21;;1700;668,01;;;;102,2179982;760,0608;6814,533214;
SBPS;SBBH;818,584;1,1;;;1590;552,6;730,42;;;;;;;132,1063018;982,3008;8807,086786;
